Season,wOBA,wOBAScale,wBB,wHBP,w1B,w2B,w3B,wHR,runSB,runCS,R/PA,R/W,cFIP,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BIP
2024,0.31,1.242,0.689,0.72,0.882,1.254,1.59,2.05,0.2,-0.405,0.117,9.683,3.166,30,741,27.9,4.39,4858,182449,163687,21343,39823,25902,7771,697,5453,20379,3617,961,14929,41197,0.243,0.312,0.399,0.711,65347,3227,2020,452,1261,509,118298
2023,0.318,1.204,0.696,0.726,0.883,1.244,1.569,2.004,0.2,-0.422,0.122,10.028,3.255,30,765,28,4.62,4860,184104,164418,22432,40839,26031,8228,712,5868,21512,3503,866,15819,41843,0.248,0.32,0.414,0.734,68095,3466,2112,429,1230,474,117937
2022,0.31,1.259,0.689,0.72,0.884,1.261,1.601,2.072,0.2,-0.397,0.114,9.524,3.112,30,790,28.2,4.28,4860,182052,163465,20817,39675,25877,7940,643,5215,19888,2486,811,14853,40812,0.243,0.312,0.395,0.706,64546,3397,2046,390,1224,475,118662
2021,0.314,1.209,0.692,0.722,0.879,1.242,1.568,2.007,0.2,-0.419,0.121,9.973,3.17,30,1373,28.4,4.53,4858,181821,161941,22010,39484,25006,7863,671,5944,20993,2213,711,15794,42145,0.244,0.317,0.411,0.728,66521,3328,2112,766,1143,703,114995
2020,0.32,1.185,0.699,0.728,0.883,1.238,1.558,1.979,0.2,-0.435,0.125,10.282,3.191,30,618,28,4.65,1796,66506,59030,8344,14439,9071,2823,241,2304,7978,885,292,6092,15586,0.245,0.322,0.418,0.74,24656,1237,821,126,402,202,41542
2019,0.32,1.157,0.69,0.719,0.87,1.217,1.529,1.94,0.2,-0.435,0.126,10.296,3.214,30,1287,27.9,4.83,4858,186517,166651,23467,42039,25947,8531,785,6776,22471,2280,832,15895,42823,0.252,0.323,0.435,0.758,72468,3463,1984,776,1150,753,118202
2018,0.315,1.226,0.69,0.72,0.88,1.247,1.578,2.031,0.2,-0.407,0.117,9.714,3.16,30,1271,28.1,4.45,4862,185139,165432,21630,41018,26322,8264,847,5585,20606,2474,958,15686,41207,0.248,0.318,0.409,0.728,67731,3457,1922,823,1235,929,119875
2017,0.321,1.185,0.693,0.723,0.877,1.232,1.552,1.98,0.2,-0.423,0.122,10.048,3.158,30,1229,28.3,4.65,4860,185295,165567,22582,42215,26918,8397,795,6105,21558,2527,934,15829,40104,0.255,0.324,0.426,0.75,70517,3804,1763,925,1168,970,120526
2016,0.318,1.212,0.691,0.721,0.878,1.242,1.569,2.015,0.2,-0.41,0.118,9.778,3.147,30,1247,28.4,4.48,4856,184580,165561,21744,42276,27539,8254,873,5610,20745,2537,1001,15088,38982,0.255,0.322,0.417,0.739,69106,3719,1651,1025,1214,932,122183
2015,0.313,1.251,0.687,0.718,0.881,1.256,1.594,2.065,0.2,-0.392,0.112,9.421,3.134,30,1252,28.4,4.25,4858,183628,165488,20647,42106,28016,8242,939,4909,19650,2505,1064,14073,37446,0.254,0.317,0.405,0.721,66953,3739,1602,1200,1232,951,124365
2014,0.31,1.304,0.689,0.722,0.892,1.283,1.635,2.135,0.2,-0.377,0.107,9.117,3.132,30,1212,28.5,4.07,4860,183929,165614,19761,41595,28423,8137,849,4186,18745,2764,1035,14020,37441,0.251,0.314,0.386,0.7,63988,3609,1652,1343,1277,985,125264
2013,0.314,1.277,0.69,0.722,0.888,1.271,1.616,2.101,0.2,-0.384,0.11,9.264,3.048,30,1202,28.5,4.17,4862,184873,166070,20255,42093,28438,8222,772,4661,19271,2693,1007,14640,36710,0.253,0.318,0.396,0.714,65842,3732,1536,1383,1219,1018,125918
2012,0.315,1.245,0.691,0.722,0.884,1.257,1.593,2.058,0.2,-0.398,0.114,9.544,3.094,30,1185,28.5,4.32,4860,184180,165251,21017,42063,27941,8261,927,4934,19998,3229,1136,14709,36426,0.255,0.319,0.405,0.724,66980,3614,1494,1479,1223,1055,125114
2011,0.316,1.264,0.694,0.726,0.89,1.27,1.611,2.086,0.2,-0.394,0.112,9.454,3.025,30,1173,28.7,4.28,4858,185245,165705,20808,42267,28418,8399,898,4552,19804,3279,1261,15018,34488,0.255,0.321,0.399,0.72,66118,3523,1554,1667,1274,1231,127939
