yearID,round,teamIDwinner,teamIDloser,wins,losses,ties
1884,WS,PRO,NY4,3,0,0
1885,WS,CHN,SL4,3,3,1
1886,WS,SL4,CHN,4,2,0
1887,WS,DTN,SL4,10,5,0
1888,WS,NY1,SL4,6,4,0
1889,WS,NY1,BR3,6,3,0
1890,WS,BRO,LS2,3,3,1
1892,CS,BSN,CL4,5,0,1
1903,WS,BOS,PIT,5,3,0
1905,WS,NY1,PHA,4,1,0
1906,WS,CHA,CHN,4,2,0
1907,WS,CHN,DET,4,0,0
1908,WS,CHN,DET,4,1,0
1909,WS,PIT,DET,4,3,0
1910,WS,PHA,CHN,4,1,0
1911,WS,PHA,NY1,4,2,0
1912,WS,BOS,NY1,4,3,0
1913,WS,PHA,NY1,4,1,0
1914,WS,BSN,PHA,4,0,0
1915,WS,BOS,PHI,4,1,0
1916,WS,BOS,BRO,4,1,0
1917,WS,CHA,NY1,4,2,0
1918,WS,BOS,CHN,4,2,0
1919,WS,CIN,CHA,5,3,0
1920,WS,CLE,BRO,5,2,0
1921,WS,NY1,NYA,5,3,0
1922,WS,NY1,NYA,4,0,0
1923,WS,NYA,NY1,4,2,0
1924,WS,WS1,NY1,4,3,0
1925,WS,PIT,WS1,4,3,0
1926,WS,SLN,NYA,4,3,0
1927,WS,NYA,PIT,4,0,0
1928,WS,NYA,SLN,4,0,0
1929,WS,PHA,CHN,4,1,0
1930,WS,PHA,SLN,4,2,0
1931,WS,SLN,PHA,4,3,0
1932,WS,NYA,CHN,4,0,0
1933,WS,NY1,WS1,4,1,0
1934,WS,SLN,DET,4,3,0
1935,WS,DET,CHN,4,2,0
1936,WS,NYA,NY1,4,2,0
1937,WS,NYA,NY1,4,1,0
1938,WS,NYA,CHN,4,0,0
1939,WS,NYA,CIN,4,0,0
1940,WS,CIN,DET,4,3,0
1941,WS,NYA,BRO,4,1,0
1942,WS,SLN,NYA,4,1,0
1943,WS,NYA,SLN,4,1,0
1944,WS,SLN,SLA,4,2,0
1945,WS,DET,CHN,4,3,0
1946,WS,SLN,BOS,4,3,0
1947,WS,NYA,BRO,4,3,0
1948,WS,CLE,BSN,4,2,0
1949,WS,NYA,BRO,4,1,0
1950,WS,NYA,PHI,4,0,0
1951,WS,NYA,NY1,4,2,0
1952,WS,NYA,BRO,4,3,0
1953,WS,NYA,BRO,4,2,0
1954,WS,NY1,CLE,4,0,0
1955,WS,BRO,NYA,4,3,0
1956,WS,NYA,BRO,4,3,0
1957,WS,ML1,NYA,4,3,0
1958,WS,NYA,ML1,4,3,0
1959,WS,LAN,CHA,4,2,0
1960,WS,PIT,NYA,4,3,0
1961,WS,NYA,CIN,4,1,0
1962,WS,NYA,SFN,4,3,0
1963,WS,LAN,NYA,4,0,0
1964,WS,SLN,NYA,4,3,0
1965,WS,LAN,MIN,4,3,0
1966,WS,BAL,LAN,4,0,0
1967,WS,SLN,BOS,4,3,0
1968,WS,DET,SLN,4,3,0
1969,ALCS,BAL,MIN,3,0,0
1969,NLCS,NYN,ATL,3,0,0
1969,WS,NYN,BAL,4,1,0
1970,ALCS,BAL,MIN,3,0,0
1970,NLCS,CIN,PIT,3,0,0
1970,WS,BAL,CIN,4,1,0
1971,ALCS,BAL,OAK,3,0,0
1971,NLCS,PIT,SFN,3,1,0
1971,WS,PIT,BAL,4,3,0
1972,ALCS,OAK,DET,3,2,0
1972,NLCS,CIN,PIT,3,2,0
1972,WS,OAK,CIN,4,3,0
1973,ALCS,OAK,BAL,3,2,0
1973,NLCS,NYN,CIN,3,2,0
1973,WS,OAK,NYN,4,3,0
1974,ALCS,OAK,BAL,3,1,0
1974,NLCS,LAN,PIT,3,1,0
1974,WS,OAK,LAN,4,1,0
1975,ALCS,BOS,OAK,3,0,0
1975,NLCS,CIN,PIT,3,0,0
1975,WS,CIN,BOS,4,3,0
1976,ALCS,NYA,KCA,3,2,0
1976,NLCS,CIN,PHI,3,0,0
1976,WS,CIN,NYA,4,0,0
1977,ALCS,NYA,KCA,3,2,0
1977,NLCS,LAN,PHI,3,1,0
1977,WS,NYA,LAN,4,2,0
1978,ALCS,NYA,KCA,3,1,0
1978,NLCS,LAN,PHI,3,1,0
1978,WS,NYA,LAN,4,2,0
1979,ALCS,BAL,CAL,3,1,0
1979,NLCS,PIT,CIN,3,0,0
1979,WS,PIT,BAL,4,3,0
1980,ALCS,KCA,NYA,3,0,0
1980,NLCS,PHI,HOU,3,2,0
1980,WS,PHI,KCA,4,2,0
1981,AEDIV,NYA,ML4,3,2,0
1981,ALCS,NYA,OAK,3,0,0
1981,AWDIV,OAK,KCA,3,0,0
1981,NEDIV,MON,PHI,3,2,0
1981,NLCS,LAN,MON,3,2,0
1981,NWDIV,LAN,HOU,3,2,0
1981,WS,LAN,NYA,4,2,0
1982,ALCS,ML4,CAL,3,2,0
1982,NLCS,SLN,ATL,3,0,0
1982,WS,SLN,ML4,4,3,0
1983,ALCS,BAL,CHA,3,1,0
1983,NLCS,PHI,LAN,3,1,0
1983,WS,BAL,PHI,4,1,0
1984,ALCS,DET,KCA,3,0,0
1984,NLCS,SDN,CHN,3,2,0
1984,WS,DET,SDN,4,1,0
1985,ALCS,KCA,TOR,4,3,0
1985,NLCS,SLN,LAN,4,2,0
1985,WS,KCA,SLN,4,3,0
1986,ALCS,BOS,CAL,4,3,0
1986,NLCS,NYN,HOU,4,2,0
1986,WS,NYN,BOS,4,3,0
1987,ALCS,MIN,DET,4,1,0
1987,NLCS,SLN,SFN,4,3,0
1987,WS,MIN,SLN,4,3,0
1988,ALCS,OAK,BOS,4,0,0
1988,NLCS,LAN,NYN,4,3,0
1988,WS,LAN,OAK,4,1,0
1989,ALCS,OAK,TOR,4,1,0
1989,NLCS,SFN,CHN,4,1,0
1989,WS,OAK,SFN,4,0,0
1990,ALCS,OAK,BOS,4,0,0
1990,NLCS,CIN,PIT,4,2,0
1990,WS,CIN,OAK,4,0,0
1991,ALCS,MIN,TOR,4,1,0
1991,NLCS,ATL,PIT,4,3,0
1991,WS,MIN,ATL,4,3,0
1992,ALCS,TOR,OAK,4,2,0
1992,NLCS,ATL,PIT,4,3,0
1992,WS,TOR,ATL,4,2,0
1993,ALCS,TOR,CHA,4,2,0
1993,NLCS,PHI,ATL,4,2,0
1993,WS,TOR,PHI,4,2,0
1995,ALCS,CLE,SEA,4,2,0
1995,ALDS1,CLE,BOS,3,0,0
1995,ALDS2,SEA,NYA,3,2,0
1995,NLCS,ATL,CIN,4,0,0
1995,NLDS1,ATL,COL,3,1,0
1995,NLDS2,CIN,LAN,3,0,0
1995,WS,ATL,CLE,4,2,0
1996,ALCS,NYA,BAL,4,1,0
1996,ALDS1,BAL,CLE,3,1,0
1996,ALDS2,NYA,TEX,3,1,0
1996,NLCS,ATL,SLN,4,3,0
1996,NLDS1,ATL,LAN,3,0,0
1996,NLDS2,SLN,SDN,3,0,0
1996,WS,NYA,ATL,4,2,0
1997,ALCS,CLE,BAL,4,2,0
1997,ALDS1,CLE,NYA,3,2,0
1997,ALDS2,BAL,SEA,3,1,0
1997,NLCS,FLO,ATL,4,2,0
1997,NLDS1,FLO,SFN,3,0,0
1997,NLDS2,ATL,HOU,3,0,0
1997,WS,FLO,CLE,4,3,0
1998,ALCS,NYA,CLE,4,2,0
1998,ALDS1,CLE,BOS,3,1,0
1998,ALDS2,NYA,TEX,3,0,0
1998,NLCS,SDN,ATL,4,2,0
1998,NLDS1,ATL,CHN,3,0,0
1998,NLDS2,SDN,HOU,3,1,0
1998,WS,NYA,SDN,4,0,0
1999,ALCS,NYA,BOS,4,1,0
1999,ALDS1,BOS,CLE,3,2,0
1999,ALDS2,NYA,TEX,3,0,0
1999,NLCS,ATL,NYN,4,2,0
1999,NLDS1,ATL,HOU,3,1,0
1999,NLDS2,NYN,ARI,3,1,0
1999,WS,NYA,ATL,4,0,0
2000,ALCS,NYA,SEA,4,2,0
2000,ALDS1,NYA,OAK,3,2,0
2000,ALDS2,SEA,CHA,3,0,0
2000,NLCS,NYN,SLN,4,1,0
2000,NLDS1,SLN,ATL,3,0,0
2000,NLDS2,NYN,SFN,3,1,0
2000,WS,NYA,NYN,4,1,0
2001,ALCS,NYA,SEA,4,1,0
2001,ALDS1,SEA,CLE,3,2,0
2001,ALDS2,NYA,OAK,3,2,0
2001,NLCS,ARI,ATL,4,1,0
2001,NLDS1,ATL,HOU,3,0,0
2001,NLDS2,ARI,SLN,3,2,0
2001,WS,ARI,NYA,4,3,0
2002,ALCS,ANA,MIN,4,1,0
2002,ALDS1,ANA,NYA,3,1,0
2002,ALDS2,MIN,OAK,3,2,0
2002,NLCS,SFN,SLN,4,1,0
2002,NLDS1,SFN,ATL,3,2,0
2002,NLDS2,SLN,ARI,3,0,0
2002,WS,ANA,SFN,4,3,0
2003,ALCS,NYA,BOS,4,3,0
2003,ALDS1,NYA,MIN,3,1,0
2003,ALDS2,BOS,OAK,3,2,0
2003,NLCS,FLO,CHN,4,3,0
2003,NLDS1,FLO,SFN,3,1,0
2003,NLDS2,CHN,ATL,3,2,0
2003,WS,FLO,NYA,4,2,0
2004,ALCS,BOS,NYA,4,3,0
2004,ALDS1,BOS,ANA,3,0,0
2004,ALDS2,NYA,MIN,3,1,0
2004,NLCS,SLN,HOU,4,3,0
2004,NLDS1,SLN,LAN,3,1,0
2004,NLDS2,HOU,ATL,3,2,0
2004,WS,BOS,SLN,4,0,0
2005,ALCS,CHA,LAA,4,1,0
2005,ALDS1,CHA,BOS,3,0,0
2005,ALDS2,LAA,NYA,3,2,0
2005,NLCS,HOU,SLN,4,2,0
2005,NLDS1,SLN,SDN,3,0,0
2005,NLDS2,HOU,ATL,3,1,0
2005,WS,CHA,HOU,4,0,0
2006,ALCS,DET,OAK,4,0,0
2006,ALDS1,DET,NYA,3,1,0
2006,ALDS2,OAK,MIN,3,0,0
2006,NLCS,SLN,NYN,4,3,0
2006,NLDS1,NYN,LAN,3,0,0
2006,NLDS2,SLN,SDN,3,1,0
2006,WS,SLN,DET,4,1,0
2007,ALCS,BOS,CLE,4,3,0
2007,ALDS1,BOS,LAA,3,0,0
2007,ALDS2,CLE,NYA,3,1,0
2007,NLCS,COL,ARI,4,0,0
2007,NLDS1,ARI,CHN,3,0,0
2007,NLDS2,COL,PHI,3,0,0
2007,WS,BOS,COL,4,0,0
2008,ALCS,TBA,BOS,4,3,0
2008,ALDS1,BOS,LAA,3,1,0
2008,ALDS2,TBA,CHA,3,1,0
2008,NLCS,PHI,LAN,4,1,0
2008,NLDS1,LAN,CHN,3,0,0
2008,NLDS2,PHI,MIL,3,1,0
2008,WS,PHI,TBA,4,1,0
2009,ALCS,NYA,LAA,4,2,0
2009,ALDS1,NYA,MIN,3,0,0
2009,ALDS2,LAA,BOS,3,0,0
2009,NLCS,PHI,LAN,4,1,0
2009,NLDS1,LAN,SLN,3,0,0
2009,NLDS2,PHI,COL,3,1,0
2009,WS,NYA,PHI,4,2,0
2010,ALCS,TEX,NYA,4,2,0
2010,ALDS1,TEX,TBA,3,2,0
2010,ALDS2,NYA,MIN,3,0,0
2010,NLCS,SFN,PHI,4,2,0
2010,NLDS1,PHI,CIN,3,0,0
2010,NLDS2,SFN,ATL,3,1,0
2010,WS,SFN,TEX,4,1,0
2011,ALCS,TEX,DET,4,2,0
2011,ALDS1,DET,NYA,3,2,0
2011,ALDS2,TEX,TBA,3,1,0
2011,NLCS,SLN,MIL,4,2,0
2011,NLDS1,SLN,PHI,3,2,0
2011,NLDS2,MIL,ARI,3,2,0
2011,WS,SLN,TEX,4,3,0
2012,ALCS,DET,NYA,4,0,0
2012,ALDS1,NYA,BAL,3,2,0
2012,ALDS2,DET,OAK,3,2,0
2012,ALWC,BAL,TEX,1,0,0
2012,NLCS,SFN,SLN,4,3,0
2012,NLDS1,SLN,WAS,3,2,0
2012,NLDS2,SFN,CIN,3,2,0
2012,NLWC,SLN,ATL,1,0,0
2012,WS,SFN,DET,4,0,0
2013,ALCS,BOS,DET,4,2,0
2013,ALDS1,BOS,TBA,3,1,0
2013,ALDS2,DET,OAK,3,2,0
2013,ALWC,TBA,CLE,1,0,0
2013,NLCS,SLN,LAN,4,2,0
2013,NLDS1,SLN,PIT,3,2,0
2013,NLDS2,LAN,ATL,3,1,0
2013,NLWC,PIT,CIN,1,0,0
2013,WS,BOS,SLN,4,3,0
2014,ALCS,KCA,BAL,4,0,0
2014,ALDS1,KCA,LAA,3,0,0
2014,ALDS2,BAL,DET,3,0,0
2014,ALWC,KCA,OAK,1,0,0
2014,NLCS,SFN,SLN,4,1,0
2014,NLDS1,SFN,WAS,3,1,0
2014,NLDS2,SLN,LAN,3,1,0
2014,NLWC,SFN,PIT,1,0,0
2014,WS,SFN,KCA,4,3,0
2015,ALCS,KCA,TOR,4,2,0
2015,ALDS1,KCA,HOU,3,2,0
2015,ALDS2,TOR,TEX,3,2,0
2015,ALWC,HOU,NYA,1,0,0
2015,NLCS,NYN,CHN,4,0,0
2015,NLDS1,CHN,SLN,3,1,0
2015,NLDS2,NYN,LAN,3,2,0
2015,NLWC,CHN,PIT,1,0,0
2015,WS,KCA,NYN,4,1,0
2016,ALCS,CLE,TOR,4,1,0
2016,ALDS1,TOR,TEX,3,0,0
2016,ALDS2,CLE,BOS,3,0,0
2016,ALWC,TOR,BAL,1,0,0
2016,NLCS,CHN,LAN,4,2,0
2016,NLDS1,CHN,SFN,3,1,0
2016,NLDS2,LAN,WAS,3,2,0
2016,NLWC,SFN,NYN,1,0,0
2016,WS,CHN,CLE,4,3,0
2017,ALCS,HOU,NYA,4,3,0
2017,ALDS1,NYA,CLE,3,2,0
